City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
397,Corner Brook,CA,66.36,broken clouds,48.9667,-57.9484,Glynmill Inn
398,Richmond Hill,CA,80.78,overcast clouds,43.8711,-79.4372,Travelodge by Wyndham Richmond Hill
401,Tukrah,LY,79.52,few clouds,32.5341,20.5791,Lagrota restaurant
402,Samastipur,IN,82.45,overcast clouds,25.85,85.7833,Hotel Madanlok
403,Moussoro,TD,85.86,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
404,Cusuna,HN,86.76,overcast clouds,15.85,-85.2333,San Francisco de la paz
407,Chake Chake,TZ,71.94,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
408,Chak Jhumra,PK,86.5,clear sky,31.5678,73.1835,Mian Rehan House
409,Ranong,TH,78.75,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
412,Puerto Carreno,CO,85.98,thunderstorm,6.189,-67.4859,Casa Hotel Victoria
414,Hearst,CA,77.25,overcast clouds,49.6835,-83.6665,Companion
415,Tharad,IN,83.37,overcast clouds,24.3961,71.6267,Suresh Parmar
418,Goderich,CA,81.91,overcast clouds,43.7501,-81.7165,Harmony Inn
419,Owando,CG,68.36,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
420,Jiuquan,CN,66.67,broken clouds,39.7432,98.5174,Jiuquan Hotel
421,Tilaran,CR,76.5,broken clouds,10.4703,-84.9671,Hotel Cielo Azul Resort
424,Lagoa,PT,70.84,scattered clouds,39.05,-27.9833,Casa Das Faias
426,Horsham,GB,66.72,clear sky,51.064,-0.3272,Springfields Hotel
429,Calafell,ES,79.12,overcast clouds,41.2,1.5683,Hotel Kursaal Calafell Platja
432,Rapid Valley,US,88.77,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
434,Namie,JP,72.72,broken clouds,37.4833,141.0,いこいの村なみえ
435,Kapit,MY,74.43,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
439,Arandas,MX,77.05,overcast clouds,20.7,-102.35,Hotel Centinela Grand
441,Pokhara,NP,71.56,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
442,Pombia,IT,70.41,scattered clouds,45.653,8.6336,Albergo Fontana
443,Koungou,YT,74.91,clear sky,-12.7336,45.2042,Villa Netibor
444,Caramay,PH,78.6,overcast clouds,10.1815,119.236,Peace and Love Beach Club
445,Tatvan,TR,70.48,clear sky,38.5067,42.2817,Karaman
446,Naze,JP,81.52,light rain,28.3667,129.4833,Shishime Hotel
447,La Ronge,CA,68.25,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
449,Nieuwpoort,BE,68.02,light rain,51.1244,2.7735,Hotel Gemeente Huis
451,Kaputa,ZM,73.45,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
452,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
453,Sigli,ID,76.96,overcast clouds,5.3848,95.9609,Losmen Dua Mali
456,Aloleng,PH,80.53,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
458,Batangafo,CF,70.0,light rain,7.3008,18.2833,OCHA Office
460,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
462,Nago,JP,79.65,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
463,Cochrane,CA,88.07,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
465,Tema,GH,75.61,scattered clouds,5.667,-0.0166,Beulah Royale Hotel Tema
468,Saint-Pierre,RE,65.91,overcast clouds,-21.3393,55.4781,Alize Plage
470,Trairi,BR,78.01,few clouds,-3.2778,-39.2689,janelas do mar
471,Bull Savanna,JM,78.04,overcast clouds,17.8868,-77.5902,Big Red's
475,Zhangzhou,CN,85.93,few clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
476,Cockburn Town,TC,83.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
477,Lexington,US,87.98,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
479,Cururupu,BR,76.42,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
482,Trincomalee,LK,79.48,broken clouds,8.5711,81.2335,Welcombe Hotel
485,Jaisalmer,IN,84.2,few clouds,26.9147,70.9181,Hotel Fifu
486,Chaohu,CN,67.01,broken clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
488,Galle,LK,76.53,broken clouds,6.0367,80.217,Amangalla
490,Yarada,IN,82.87,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
496,Japura,ID,72.39,light rain,-0.3167,102.35,Rumah mbah Jamah
499,Makakilo City,US,83.68,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
500,Kalmunai,LK,78.69,scattered clouds,7.4167,81.8167,VS Villa
501,Colombo,LK,76.95,broken clouds,6.9319,79.8478,Galle Face Hotel
502,Gua Musang,MY,73.53,overcast clouds,4.8823,101.9644,Mines Inn Hotel
503,Mantua,IT,72.64,few clouds,45.1667,10.7833,Hotel la Favorita
504,Entre Rios,BR,67.66,scattered clouds,-11.9419,-38.0844,Pousada Porteira
506,Quang Ngai,VN,76.05,overcast clouds,15.1167,108.8,Central Hotel
507,Amarante Do Maranhao,BR,81.97,few clouds,-5.5667,-46.7422,Hotéis Caçulinha
508,Melville,US,77.85,clear sky,40.7934,-73.4151,Marriott Melville Long Island
514,Vao,NC,71.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
518,Nigde,TR,66.29,clear sky,37.8333,34.75,Kılavuz köyü Texas
520,Ca Mau,VN,78.6,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
521,Kishorganj,BD,76.78,overcast clouds,24.4333,90.7667,Kishoreganj Resort
