City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
137,Bethel,US,2022-31-09/02/22 21:31:09,41.3712,-73.414,80.69,47,0,8.05,clear sky
138,Port Elizabeth,ZA,2022-29-09/02/22 21:29:57,-33.918,25.5701,57.49,83,0,8.05,clear sky
139,Hovd,MN,2022-31-09/02/22 21:31:09,48.0056,91.6419,58.8,36,14,5.82,few clouds
140,Zheshart,RU,2022-31-09/02/22 21:31:10,62.0731,49.5733,44.29,95,98,5.48,overcast clouds
141,Tura,IN,2022-31-09/02/22 21:31:10,25.5198,90.2201,73.27,98,99,5.59,overcast clouds
142,Mnogovershinnyy,RU,2022-31-09/02/22 21:31:10,53.9353,139.9242,56.28,76,52,4.81,broken clouds
143,Pirajui,BR,2022-31-09/02/22 21:31:11,-21.9986,-49.4572,76.68,29,0,3.2,clear sky
144,Mayo,US,2022-31-09/02/22 21:31:11,38.8876,-76.5119,87.75,60,0,4.61,clear sky
145,Victoria,HK,2022-27-09/02/22 21:27:03,22.2855,114.1577,82.45,65,22,17.0,few clouds
146,Sao Felix Do Xingu,BR,2022-31-09/02/22 21:31:12,-6.6447,-51.995,82.13,27,19,2.21,few clouds
147,Asfi,MA,2022-31-09/02/22 21:31:12,32.2994,-9.2372,72.19,73,100,16.67,overcast clouds
148,Lithakia,GR,2022-31-09/02/22 21:31:12,37.7167,20.8333,76.37,75,0,14.36,clear sky
149,Hermanus,ZA,2022-31-09/02/22 21:31:13,-34.4187,19.2345,55.06,77,20,12.03,few clouds
150,Port Blair,IN,2022-31-09/02/22 21:31:13,11.6667,92.75,81.68,79,38,3.67,scattered clouds
151,Gao,ML,2022-31-09/02/22 21:31:14,16.6362,1.637,89.29,38,73,5.95,broken clouds
152,Hofn,IS,2022-31-09/02/22 21:31:14,64.2539,-15.2082,50.88,90,87,14.18,overcast clouds
153,Acolla,PE,2022-31-09/02/22 21:31:15,-11.7319,-75.5463,55.76,42,3,10.2,clear sky
154,Boyolangu,ID,2022-31-09/02/22 21:31:15,-8.1181,111.8935,73.15,96,53,3.76,broken clouds
155,Avera,US,2022-31-09/02/22 21:31:15,33.194,-82.5271,84.38,59,81,6.13,broken clouds
156,Thompson,CA,2022-31-09/02/22 21:31:15,55.7435,-97.8558,51.96,62,75,9.22,broken clouds
157,The Valley,AI,2022-31-09/02/22 21:31:16,18.217,-63.0578,81.1,81,78,18.19,broken clouds
158,Glendive,US,2022-31-09/02/22 21:31:16,47.1053,-104.7125,84.49,23,0,6.91,clear sky
159,Bourail,NC,2022-31-09/02/22 21:31:17,-21.5667,165.4833,72.79,67,100,7.45,overcast clouds
160,Ushuaia,AR,2022-31-09/02/22 21:31:17,-54.8,-68.3,42.46,75,100,4.61,light intensity drizzle
161,Panguna,PG,2022-31-09/02/22 21:31:17,-6.3164,155.4848,73.6,85,100,3.11,overcast clouds
162,Basudebpur,IN,2022-31-09/02/22 21:31:18,21.1353,86.7386,81.84,83,87,8.28,overcast clouds
163,Raga,SS,2022-31-09/02/22 21:31:18,8.4596,25.678,68.23,98,99,4.99,moderate rain
164,Thai Binh,VN,2022-31-09/02/22 21:31:18,20.45,106.3333,80.24,84,98,1.97,overcast clouds
165,Nishihara,JP,2022-31-09/02/22 21:31:19,26.1842,127.7558,78.85,88,100,25.32,mist
166,Alofi,NU,2022-31-09/02/22 21:31:19,-19.0595,-169.9187,71.49,94,100,3.44,overcast clouds
167,Garowe,SO,2022-31-09/02/22 21:31:19,8.4054,48.4845,74.01,67,65,28.25,broken clouds
168,Mataura,NZ,2022-31-09/02/22 21:31:20,-46.1927,168.8643,43.65,96,98,10.89,overcast clouds
169,Srandakan,ID,2022-31-09/02/22 21:31:20,-7.9386,110.2506,75.54,90,76,4.38,broken clouds
170,Ahipara,NZ,2022-31-09/02/22 21:31:20,-35.1667,173.1667,58.15,68,100,8.21,overcast clouds
171,Puranpur,IN,2022-31-09/02/22 21:31:21,28.5167,80.15,77.31,90,39,2.59,scattered clouds
172,Qaanaaq,GL,2022-31-09/02/22 21:31:21,77.484,-69.3632,36.75,91,100,5.59,light rain
173,Kirakira,SB,2022-31-09/02/22 21:31:21,-10.4544,161.9205,81.0,83,98,11.36,overcast clouds
